	texts	labels
0	Muhammad permitted lying (Sahih Muslim 6303, Bukhari 49:857). Jesus, ÂThou shalt not bear false witness.Â Matt. 19:18. Muhammad, owned and traded slaves. (Sahih Muslim 3901) Jesus freed the slaves of sin and freed them from sickness & bondages. Christ is your saviour and came to give you life. Muhammed misleads you to hell.	1
1	And one of His signs is that He created for you spouses from among yourselves so that you may find comfort in them. And He has placed between you compassion and mercy. Surely in this are signs for people who reflect.	0
2	She reported God's Messenger as saying, The best of you is he who is best to his family, and I am the best among you to my family. When one of you dies speak no ill of him.	0
3	Sahl bin Hunaif and Qais bin Sad were sitting in the city of Al-Qadisiya. A funeral procession passed in front of them and they stood up. They were told that funeral procession was of one of the inhabitants of the land i.e. of a non-believer, under the protection of Muslims. They said, A funeral procession passed in front of the Prophet and he stood up. When he was told that it was the coffin of a Jew, he said, Is it not a living being (soul)?	0
4	It should be noted that in the long history of Muslim people, there were times when such conditions and rules were adhered to and other times where there were violations to differing degrees. There have also been some misinterpretations of the concept by some scholars, possibly influenced at least in part, by the circumstances of the time in which they lived. The fact remains, however, that Islamic teachings should not be driven either by what some Muslims did in the past or are doing today or by misinterpretations from the past or present.	0
5	The Prophet (peace be upon him) said: Three do not ask about them: a man who left the congregation and disobeyed his imam and died in disobedience, a slave woman or slave who escaped from his master and died, and a woman whose husband was absent from her and who was sufficient for her worldly needs, so she made herself visible after him; Do not ask about them.	0
6	And verily, We have sent among every Ummah (community, nation) a Messenger (proclaiming): ÂWorship Allah (Alone), and avoid (or keep away from) Taghut (all false deities, etc. i.e. do not worship Taghut besides Allah).Â Then of them were some whom Allah guided and of them were some upon whom the straying was justified. So travel through the land and see what was the end of those who denied (the truth)	0
7	"Tawheed is derived from sura Ikhlas which tells the Muslims that their god (Allah) is ONE ""Sura 112:1  Qul huwa Allahu ahad(un)"", this statement was stolen from the Bible by Muhammed (plagiarism). The problem is that muhammed/Allah either was ignorant of the meaning or was just being deceitful. The word ahad as in my previous post I explained it meant a unification of two or more! In short ahad LITTERALLY means ONE OF. Water is AHAD (2 parts Hydrogen+Oxygen) human beings are ahad (spirit+soul+body). What is interesting is that, it seems Allah forgot in THIS SPECIFIC verse that He shouldn't have used ahad but instead used WAHID which is the actual name for 'one' in ARABIC! what is worse is we know Allah knows this because he uses the correct word 'WAHID' in OTHER verses to denote 'ONE'! In addition, When you ask any Muslim they always say that Allah is BEYOND human comprehension.. The thought of Allah being in his creation will be synonymous to committing shirk. Muslims are taught that one of the principles of tawheed is that ALLAH IS NEVER IN HIS CREATION HE IS BEYOND IT, the problem is that their theology doesn't match with what is in the Quran nor hadiths."	1
8	"The Prophet (may Allah's peace and blessings be upon him) said: ""I advise you to treat women kindly, for the woman was created from a rib, and the most crooked part of the rib is its uppermost part. If you try to straighten it, you will break it; and if you leave it, it will remain crooked. So, treat women kindly."	0
9	This is how people get terrified when they see the real Islam of Muhammed is coming to their neighbourhood in any moment! Think how many people have went through this moment in many different places in the last 1400 years!	1
10	"And wish not for the things in which Allah has made some of you to excel others). (For men there is reward for what they have earned, (and likewise) for women there is reward for what they have earned,) indicates, according to Ibn Jarir, that each person will earn his wages for his works, a reward if his deeds are good, and punishment if his deeds are evil. It was also reported that this Ayah is talking about inheritance, indicating the fact that each person will get his due share of the inheritance, as Al-Walibi reported from Ibn `Abbas. Allah then directed the servants to what benefits them, (and ask Allah of His Bounty.)Therefore, the Ayah states, ""Do not wish for what other people were endowed with over you, for this is a decision that will come to pass, and wishing does not change its decree. However, ask Me of My favor and I will grant it to you, for I Am Most Generous and Most Giving.'' Allah then said, (Surely, Allah is Ever All-Knower of everything.) meaning, Allah knows who deserves this life, and so He gives him riches, and whoever deserves poverty, He makes him poor. He also knows who deserves the Hereafter, and He directs him to perform the deeds that will help him to be sucessful in it, and whoever deserves failure, He prevents him from achieving righteousness and what leads to it."	0
11	Ibn Umar reported GodÂs Messenger as saying, Do not prevent your women from coming to the mosques, but their houses are better for them.	0
12	Women are legally disadvantaged by Islamic law in several in several domains of life. Particularly, women are disadvantaged in matters of sexual, domestic, legal, financial, sartorial, and physical autonomy. According to Islamic legal theory, while not all of Islamic law necessarily has a perceptibly rational basis.	1
13	The answer to this is that these verses are not unconditional, to be applied to every Jew, Christian, or non-Muslim. Interpreting them in this manner contradicts the injunctions of the QurÂan which enjoin affection and kindness to the good and peace-loving peoples of every religion, as well as the verses which permit marriage to the women of the People of the Book, with all that Allah says concerning marriage, (And He has put love and mercy between you,] (Ar-Rum 30:21) and the verse concerning the Christians, [And thou wilt find those who say, ÂSurely we are Christians.Â to be nearest to them (the Muslims) in affection) (Al-MaÂidah 5:85). The verses that imply breaking ties with People of Book refer to those people who were hostile to Islam and waged war against Muslims. Accordingly, it is not permissible for Muslims to support or assist them Â that is, to be their ally Â nor to entrust them with secrets at the expense of Islam or Muslim community.	0
14	The Messenger of God, may GodÂs prayers and peace be upon him, established for the woman an independent financial liability, like a man, as he recognized her the right to own, sell, buy and so on. Among the most prominent financial rights of a woman is her right to the dowry, and God has imposed it on the husband in honor of the woman and to show the sincerity of the manÂs desire for her, and to be dear and generous, so she is the one who is required, not asking, and just as the woman at marriage has the right to the dowry, after its conclusion, she has the right to alimony, and the alimony includes all other things. She carries out her life in terms of food, drink, clothing and housing. In the hadith on the authority of Umm Salamah, the husband of the Prophet, may GodÂs prayers and peace be upon him, she said: ÂI heard the Messenger of God, may God bless him and grant him peace, say: Whoever spends on two daughters, or two sisters, or my blood relatives, he will count the alimony on them, until God enriches them by His grace, the Mighty and Sublime, or suffices them both. They were a shield for him from the Fire.Â Among the financial rights of women is also the right to inherit, and the Shariah in the QurÂan and the Sunnah have established this right.  The Almighty said: (The men have a share of what the parents and the closeness are left, and the women have a share of what the parents have left, and the closeness is from the one who is less)	0
15	The QurÂan describes the human as the trustee of Allah on earth. Allah created everything on earth and in the heavens for the benefit of the human race. Sanctity of human life is affirmed in the QurÂan [Nor take life, which God has made sacred, except for just cause] (Al-IsraaÂ 17:33). The QurÂan confirms GodÂs revelation to previous prophets that [If anyone slays a human being, unless it be (punishment) for murder, or for spreading mischief on earth, it shall be as though he had slain all humankind; whereas, if anyone saves a life, it shall be as though he had saved the lives of all humankind] (Al-MaÂidah 5:32). Beyond sanctity of life, in the QurÂan we read [Indeed, We (God) have conferred dignity on the children of Adam] (Al-IsraaÂ 17:70). It is noted that this verse is inclusive of all humans, irrespective of their religion or even their belief in God.	0
16	Alcohol is allowed in lslam and Muhammad allowed it  used to drink it in Authentic Hadith	1
17	"(Allah does not look at a man who had anal sex with another man or a woman.)  In addition, Imam Ahmad reported that, ""Allah's Messenger forbade anal sex with women, for Allah does not shy away from truth.'''. They all, along with the majority of the scholars, harshly rebuked the practice of anal sex and many of them called this practice a Kufr."	0
18	"Allah the Exalted clarifies the waiting period of the woman in menopause. And that is the one whose menstruation has stopped due to her older age. Her `Iddah is three months instead of the three monthly cycles for those who menstruate,  the same for the young, who have not reached the years of menstruation. (if you have doubt...) There are two opinions: First, is the saying of a group of the Salaf, like Mujahid, Az-Zuhri and Ibn Zayd. That is, if they see blood and there is doubt if it was menstrual blood or not. The second, is that if you do not know the ruling in this case, then know that their `Iddah is three months. This has been reported from Sa`id bin Jubayr and it is the view preferred by Ibn Jarir. And this is the more obvious meaning. Supporting this view is what is reported from Ubay bin Ka`b that he said, ""O Allah's Messenger! Some women were not mentioned in the Qur'an, the young, the old and the pregnant. "	0
19	Abu Huraira reported GodÂs Messenger as saying, A woman may be married for four reasons, for her property, her rank, her beauty and her religion; so get the one who is religious and prosper.	0
20	 And whoever does righteous good deeds, male or female, and is a true believer in the Oneness of Allah (Muslim), such will enter Paradise and not the least injustice, even to the size of a Naqira (speck on the back of a date-stone), will be done to them.	0
21	The eradication of race consciousness is one of the outstanding moral achievements of Islam. In the contemporary world there is, as it happens, a crying need for the propagation of this Islamic virtue. It is conceivable that the spirit of Islam might be the timely reinforcement, which would decide this issue in favor of tolerance and peace, the historian A.J. Toynbee wrote in his book Civilization on Trial. Islam unites the entire human race under one banner. To a world torn by national rivalries and feuds, it presents a message of life and hope, and of a glorious future.	0
22	Not a single Prophet lived during the time of Muhammad. And this is especially true regarding the Prophets with whom Allah concluded the Covenant. Yet, the QurÂan testifies that there would be Prophets present during the time of this Messenger. In fact, Allah swore these Prophets into his service to assist this forthcoming Messenger. And Allah himself bore witness with the Prophets that he will be with them to ensure the accomplishment of this Covenant. But there were no Prophets present during the time of Muhammad. This leaves us with two options. One: Allah was mistaken in his claim that there would be other Prophets during the appearance of this Messenger. Two: The Messenger mentioned in Surah 3:81 is referring to someone other than Muhammad. Either option spells disaster for Islam. What is even more damaging for Islam is the fact that Muhammad excluded himself as the Messenger of Surah 3:81. Why do we say that? This is because Muhammad clearly ruled out the prospect for the co-existence of any other Prophets during his career as the Messenger of Allah. In other words, no other Prophets are supposed to exist anywhere on planet earth as a contemporary of Muhammad. Muhammad openly testified to this conclusion when he precisely informed his early Companions of this outcome in the following Hadith.	1
23	Verily, those who believe (in Allah and in His Messenger Muhammad ), and those who are Jews, and the Sabians, and the Christians, and the Magians, and those who worship others besides Allah, truly, Allah will judge between them on the Day of Resurrection. Verily! Allah is Witness over all things	0
